date,time,currency,impact,event
Jun 2,All Day,NZD,gray,Bank Holiday
Jun 2,4:50am,JPY,yellow,Capital Spending q/y
Jun 2,5:00am,USD,orange,FOMC Member Waller Speaks
Jun 2,All Day,CNY,gray,Bank Holiday
Jun 2,5:30am,JPY,yellow,Final Manufacturing PMI
Jun 2,6:00am,AUD,yellow,MI Inflation Gauge m/m
Jun 2,6:30am,AUD,yellow,ANZ Job Advertisements m/m
Jun 2,11:00am,GBP,yellow,Nationwide HPI m/m
Jun 2,All Day,EUR,gray,Italian Bank Holiday
Jun 2,11:30am,AUD,yellow,Commodity Prices y/y
Jun 2,11:30am,CHF,yellow,Retail Sales y/y
Jun 2,12:00pm,CHF,orange,GDP q/q
Jun 2,12:15pm,EUR,yellow,Spanish Manufacturing PMI
Jun 2,12:30pm,CHF,yellow,Manufacturing PMI
Jun 2,12:45pm,EUR,yellow,Italian Manufacturing PMI
Jun 2,12:50pm,EUR,yellow,French Final Manufacturing PMI
Jun 2,12:55pm,EUR,yellow,German Final Manufacturing PMI
Jun 2,1:00pm,EUR,yellow,Final Manufacturing PMI
Jun 2,1:30pm,GBP,yellow,Final Manufacturing PMI
Jun 2,1:30pm,GBP,yellow,M4 Money Supply m/m
Jun 2,1:30pm,GBP,yellow,Mortgage Approvals
Jun 2,1:30pm,GBP,yellow,Net Lending to Individuals m/m
Jun 2,6:30pm,CAD,yellow,Manufacturing PMI
Jun 2,6:45pm,USD,yellow,Final Manufacturing PMI
Jun 2,7:00pm,USD,red,ISM Manufacturing PMI
Jun 2,7:00pm,USD,orange,ISM Manufacturing Prices
Jun 2,7:00pm,USD,yellow,Construction Spending m/m
Jun 2,7:15pm,USD,yellow,FOMC Member Logan Speaks
Jun 2,9:45pm,USD,yellow,FOMC Member Goolsbee Speaks
Jun 2,9:59pm,GBP,yellow,MPC Member Mann Speaks
Jun 2,10:00pm,GBP,yellow,MPC Member Greene Speaks
Jun 2,10:00pm,USD,red,Fed Chair Powell Speaks
Jun 3,3:45am,NZD,yellow,Overseas Trade Index q/q
Jun 3,4:50am,JPY,yellow,Monetary Base y/y
Jun 3,6:30am,AUD,orange,Monetary Policy Meeting Minutes
Jun 3,6:30am,AUD,yellow,Company Operating Profits q/q
Jun 3,6:30am,AUD,yellow,Current Account
Jun 3,6:45am,CNY,yellow,Caixin Manufacturing PMI
Jun 3,8:05am,AUD,yellow,RBA Assist Gov Hunter Speaks
Jun 3,8:35am,JPY,yellow,10-y Bond Auction
Jun 3,11:30am,CHF,red,CPI m/m
Jun 3,11:45am,EUR,yellow,French Gov Budget Balance
Jun 3,12:00pm,EUR,yellow,Spanish Unemployment Change
Jun 3,12:50pm,JPY,red,BOJ Gov Ueda Speaks
Jun 3,1:00pm,EUR,yellow,Italian Monthly Unemployment Rate
Jun 3,2:00pm,EUR,orange,Core CPI Flash Estimate y/y
Jun 3,2:00pm,EUR,orange,CPI Flash Estimate y/y
Jun 3,2:00pm,EUR,yellow,Unemployment Rate
Jun 3,2:15pm,GBP,orange,Monetary Policy Report Hearings
Jun 3,7:00pm,USD,red,JOLTS Job Openings
Jun 3,7:00pm,USD,yellow,Factory Orders m/m
Jun 3,7:04pm,USD,yellow,RCM/TIPP Economic Optimism
Jun 3,7:40pm,NZD,yellow,GDT Price Index
Jun 3,9:15pm,CHF,yellow,Gov Board Member Tschudin Speaks
Jun 3,9:45pm,USD,yellow,FOMC Member Goolsbee Speaks
Jun 3,10:00pm,USD,yellow,FOMC Member Cook Speaks
Jun 4,12:30am,USD,yellow,FOMC Member Logan Speaks
Jun 4,1:30am,USD,yellow,API Weekly Statistical Bulletin
Jun 4,1:30am,USD,yellow,Wards Total Vehicle Sales
Jun 4,6:30am,AUD,red,GDP q/q
Jun 4,12:15pm,EUR,yellow,Spanish Services PMI
Jun 4,12:45pm,EUR,yellow,Italian Services PMI
Jun 4,12:50pm,EUR,yellow,French Final Services PMI
Jun 4,12:55pm,EUR,yellow,German Final Services PMI
Jun 4,1:00pm,EUR,yellow,Final Services PMI
Jun 4,1:30pm,GBP,yellow,Final Services PMI
Jun 4,5:15pm,USD,red,ADP Non-Farm Employment Change
Jun 4,5:30pm,CAD,yellow,Labor Productivity q/q
Jun 4,5:30pm,USD,yellow,FOMC Member Bostic Speaks
Jun 4,5:30pm,USD,yellow,FOMC Member Cook Speaks
Jun 4,6:45pm,CAD,red,BOC Rate Statement
Jun 4,6:45pm,CAD,red,Overnight Rate
Jun 4,6:45pm,USD,yellow,Final Services PMI
Jun 4,7:00pm,USD,red,ISM Services PMI
Jun 4,7:30pm,CAD,red,BOC Press Conference
Jun 4,7:30pm,USD,yellow,Crude Oil Inventories
Jun 4,11:00pm,USD,yellow,Beige Book
Jun 5,4:30am,JPY,yellow,Average Cash Earnings y/y
Jun 5,6:00am,NZD,yellow,ANZ Commodity Prices m/m
Jun 5,6:30am,AUD,yellow,Goods Trade Balance
Jun 5,6:45am,CNY,yellow,Caixin Services PMI
Jun 5,8:35am,JPY,yellow,30-y Bond Auction
Jun 5,11:00am,EUR,yellow,German Factory Orders m/m
Jun 5,12:00pm,CHF,yellow,Unemployment Rate
Jun 5,12:45pm,GBP,yellow,MPC Member Greene Speaks
Jun 5,1:00pm,EUR,yellow,Italian Retail Sales m/m
Jun 5,1:30pm,GBP,orange,Construction PMI
Jun 5,1:30pm,GBP,yellow,MPC Member Breeden Speaks
Jun 5,1:59pm,EUR,yellow,French 10-y Bond Auction
Jun 5,2:00pm,EUR,yellow,PPI m/m
Jun 5,4:30pm,USD,yellow,Challenger Job Cuts y/y
Jun 5,5:15pm,EUR,red,Main Refinancing Rate
Jun 5,5:15pm,EUR,red,Monetary Policy Statement
Jun 5,5:30pm,CAD,yellow,Trade Balance
Jun 5,5:30pm,USD,red,Unemployment Claims
Jun 5,5:30pm,USD,yellow,Revised Nonfarm Productivity q/q
Jun 5,5:30pm,USD,yellow,Revised Unit Labor Costs q/q
Jun 5,5:30pm,USD,yellow,Trade Balance
Jun 5,5:45pm,EUR,red,ECB Press Conference
Jun 5,7:00pm,CAD,orange,Ivey PMI
Jun 5,7:30pm,USD,yellow,Natural Gas Storage
Jun 5,9:00pm,USD,yellow,FOMC Member Kugler Speaks
Jun 5,9:20pm,CAD,yellow,Gov Council Member Kozicki Speaks
Jun 5,10:30pm,USD,yellow,FOMC Member Harker Speaks
Jun 5,10:30pm,USD,yellow,FOMC Member Schmid Speaks
Jun 6,4:30am,JPY,yellow,Household Spending y/y
Jun 6,10:00am,JPY,yellow,Leading Indicators
Jun 6,11:00am,EUR,yellow,German Industrial Production m/m
Jun 6,11:00am,EUR,yellow,German Trade Balance
Jun 6,11:00am,GBP,yellow,Halifax HPI m/m
Jun 6,11:45am,EUR,yellow,French Industrial Production m/m
Jun 6,11:45am,EUR,yellow,French Trade Balance
Jun 6,12:00pm,CHF,yellow,Foreign Currency Reserves
Jun 6,2:00pm,EUR,yellow,Final Employment Change q/q
Jun 6,2:00pm,EUR,yellow,Retail Sales m/m
Jun 6,2:00pm,EUR,yellow,Revised GDP q/q
Jun 6,5:30pm,CAD,red,Employment Change
Jun 6,5:30pm,CAD,red,Unemployment Rate
Jun 6,5:30pm,USD,red,Average Hourly Earnings m/m
Jun 6,5:30pm,USD,red,Non-Farm Employment Change
Jun 6,5:30pm,USD,red,Unemployment Rate
Jun 7,12:00am,USD,yellow,Consumer Credit m/m
Jun 7,12:30pm,EUR,orange,ECB President Lagarde Speaks
Jun 7,2:40pm,GBP,yellow,MPC Member Greene Speaks
Jun 9,All Day,AUD,gray,Bank Holiday
Jun 9,3:45am,NZD,yellow,Manufacturing Sales q/q
Jun 9,4:50am,JPY,yellow,Bank Lending y/y
Jun 9,4:50am,JPY,yellow,Current Account
Jun 9,4:50am,JPY,yellow,Final GDP Price Index y/y
Jun 9,4:50am,JPY,yellow,Final GDP q/q
Jun 9,6:30am,CNY,orange,CPI y/y
Jun 9,6:30am,CNY,orange,PPI y/y
Jun 9,Tentative,CNY,yellow,Trade Balance
Jun 9,Tentative,CNY,yellow,USD-Denominated Trade Balance
Jun 9,10:00am,JPY,yellow,Economy Watchers Sentiment
Jun 9,All Day,CHF,gray,Bank Holiday
Jun 9,All Day,EUR,gray,French Bank Holiday
Jun 9,All Day,EUR,gray,German Bank Holiday
Jun 9,Tentative,CNY,orange,New Loans
Jun 9,Tentative,CNY,yellow,M2 Money Supply y/y
Jun 9,7:00pm,USD,yellow,Final Wholesale Inventories m/m
Jun 10,4:01am,GBP,yellow,BRC Retail Sales Monitor y/y
Jun 10,4:50am,JPY,yellow,M2 Money Stock y/y
Jun 10,5:30am,AUD,yellow,Westpac Consumer Sentiment
Jun 10,6:30am,AUD,yellow,NAB Business Confidence
Jun 10,11:00am,GBP,red,Claimant Count Change
Jun 10,11:00am,GBP,orange,Average Earnings Index 3m/y
Jun 10,11:00am,GBP,yellow,Unemployment Rate
Jun 10,11:00am,JPY,yellow,Prelim Machine Tool Orders y/y
Jun 10,12:00pm,CHF,yellow,SECO Consumer Climate
Jun 10,1:00pm,EUR,yellow,Italian Industrial Production m/m
Jun 10,1:30pm,EUR,yellow,Sentix Investor Confidence
Jun 10,3:00pm,USD,yellow,NFIB Small Business Index
Jun 11,1:30am,USD,yellow,API Weekly Statistical Bulletin
Jun 11,3:45am,NZD,yellow,Visitor Arrivals m/m
Jun 11,4:50am,JPY,yellow,PPI y/y
Jun 11,Tentative,GBP,yellow,10-y Bond Auction
Jun 11,5:30pm,CAD,yellow,Building Permits m/m
Jun 11,5:30pm,USD,red,Core CPI m/m
Jun 11,5:30pm,USD,red,CPI m/m
Jun 11,5:30pm,USD,red,CPI y/y
Jun 11,7:30pm,USD,yellow,Crude Oil Inventories
Jun 11,10:01pm,USD,yellow,10-y Bond Auction
Jun 11,11:00pm,USD,yellow,Federal Budget Balance
Jun 12,4:01am,GBP,yellow,RICS House Price Balance
Jun 12,4:50am,JPY,yellow,BSI Manufacturing Index
Jun 12,6:00am,AUD,yellow,MI Inflation Expectations
Jun 12,11:00am,GBP,red,GDP m/m
Jun 12,11:00am,GBP,yellow,Construction Output m/m
Jun 12,11:00am,GBP,yellow,Goods Trade Balance
Jun 12,11:00am,GBP,yellow,Index of Services 3m/3m
Jun 12,11:00am,GBP,yellow,Industrial Production m/m
Jun 12,11:00am,GBP,yellow,Manufacturing Production m/m
Jun 12,1:00pm,EUR,yellow,Italian Quarterly Unemployment Rate
Jun 12,Tentative,EUR,yellow,Spanish 10-y Bond Auction
Jun 12,5:30pm,USD,red,Core PPI m/m
Jun 12,5:30pm,USD,red,PPI m/m
Jun 12,5:30pm,USD,red,Unemployment Claims
Jun 12,6:30pm,GBP,yellow,CB Leading Index m/m
Jun 12,7:30pm,USD,yellow,Natural Gas Storage
Jun 12,10:01pm,USD,yellow,30-y Bond Auction
Jun 13,3:30am,NZD,yellow,BusinessNZ Manufacturing Index
Jun 13,9:30am,JPY,yellow,Revised Industrial Production m/m
Jun 13,9:30am,JPY,yellow,Tertiary Industry Activity m/m
Jun 13,11:00am,EUR,yellow,German Final CPI m/m
Jun 13,11:45am,EUR,yellow,French Final CPI m/m
Jun 13,1:00pm,EUR,yellow,Italian Trade Balance
Jun 13,1:30pm,GBP,yellow,Consumer Inflation Expectations
Jun 13,2:00pm,EUR,yellow,Industrial Production m/m
Jun 13,2:00pm,EUR,yellow,Trade Balance
Jun 13,5:30pm,CAD,yellow,Capacity Utilization Rate
